Mineral,Producto_especifico,Tipo_de_flujo,País,Año,Valor_USD_millones,Posición_en_ranking,Nota,Fuente,URL
Oro,Minerales de metales preciosos y concentrados,Intercambio total,Total mundial,2024,734,,México 3er exportador mundial de esta categoría en 2022,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/minerals-of-precious-metals-and-their-concentrates?redirect=true
Fluorita,Espato flúor (>97% CaF2),Exportación,Estados Unidos,2018,39,1,"% de las exportaciones, no USD",Perfil de Mercado Fluorita SE,https://www.gob.mx/cms/uploads/attachment/file/624810/9Perfil_Fluorita_2020__T_.pdf
Fluorita,Espato flúor (>97% CaF2),Exportación,Italia,2018,21,2,% de las exportaciones,Perfil de Mercado Fluorita SE,https://www.gob.mx/cms/uploads/attachment/file/624810/9Perfil_Fluorita_2020__T_.pdf
Fluorita,Espato flúor (>97% CaF2),Exportación,Países Bajos,2018,10,3,% de las exportaciones,Perfil de Mercado Fluorita SE,https://www.gob.mx/cms/uploads/attachment/file/624810/9Perfil_Fluorita_2020__T_.pdf
Fluorita,Fluorita (todas las calidades),Dependencia de EE.UU.,Estados Unidos,2025,70,,% de las importaciones de EE.UU. provenientes de México,IMCO (2026),https://imco.org.mx/los-minerales-criticos-en-la-revision-del-t-mec/
Barita,Barita (todas las calidades),Exportación,Estados Unidos,2013,78.3,1,"% de las exportaciones, no USD",Perfil de Mercado Barita SE,https://www.economia.gob.mx/files/comunidad_negocios/industria_comercio/informacionSectorial/minero/pm_barita_2014.pdf
Barita,Barita (todas las calidades),Exportación,Colombia,2013,12.6,2,% de las exportaciones,Perfil de Mercado Barita SE,https://www.economia.gob.mx/files/comunidad_negocios/industria_comercio/informacionSectorial/minero/pm_barita_2014.pdf
Barita,Barita (todas las calidades),Exportación,Venezuela,2013,8.4,3,% de las exportaciones,Perfil de Mercado Barita SE,https://www.economia.gob.mx/files/comunidad_negocios/industria_comercio/informacionSectorial/minero/pm_barita_2014.pdf
Grafito,Grafito natural,Exportación,Estados Unidos,2020,96.4,1,"% de las exportaciones, rango 94.8-98%",Perfil de Mercado Grafito SE,https://www.gob.mx/cms/uploads/attachment/file/624814/12Perfil_Grafito_2020__T_.pdf
Sector (todos),Productos minerales (agregado),Exportación,Estados Unidos,2024,6360,1,Categoría amplia 'Productos Minerales',DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/mineral-products
Sector (todos),Productos minerales (agregado),Exportación,China,2024,5058,2,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/mineral-products
Sector (todos),Productos minerales (agregado),Exportación,Corea del Sur,2024,1882,3,,DataMéxico,https://www.economia.gob.mx/datamexico/es/profile/product/mineral-products
