Clasif. de Riesgo,Materia Prima Mineral,Disminución Neta Ponderada en el PIB de EE.UU. (millones de $),Categoría de Riesgo Estadístico,¿Recomendado para Inclusión?,Base para la Recomendación,¿Estaba en la LCM anterior (y base para la recomendación previa)?,Fase / Forma / Mineral Principal,,,
34,Productos Químicos de Cobalto (Cobalt chemicals)*,47,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Compuestos químicos de Cobalto (ej. sulfato de cobalto para baterías),,,
35,Erbio (Erbium),43,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cualitativa),Elemento de Tierras Raras,,,
36,Cromo Metálico (Chromium metal)*,36,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Forma metálica del Cromo,,,
37,Plata (Silver),36,Elevado,Sí,Evaluación cuantitativa,No,Plata,,,
38,Grafito Natural (Natural graphite),34,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Forma natural del Grafito,,,
39,Estaño (Tin),33,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Estaño,,,
40,Bismuto (Bismuth),32,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Bismuto,,,
41,Sulfato de Manganeso (Alta Pureza) (Manganese sulfate - high purity)*,29,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Compuesto químico de Manganeso (para baterías),,,
42,Compuestos de Magnesio (Magnesium compounds)*,28,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Compuestos químicos de Magnesio (distintos del metal),,,
43,Titanio Esponja (Titanium sponge)*,27,Elevado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Forma porosa intermedia del Titanio metálico (etapa de producción),,,
44,"Níquel Primario Refinado (Nickel, primary refined)*",22,Moderado,Sí,Evaluación cuantitativa,Sí (SPOF - Punto Único de Falla),Forma refinada/metálica primaria del Níquel,,,
45,Tántalo (Tantalum),18,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Tántalo,,,
46,Holmio (Holmium),15,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cualitativa),Elemento de Tierras Raras,,,
47,"Fluorita Grado Ácido (Fluorspar, acidspar)*",14,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Variedad/grado de Fluorita (alto contenido de CaF₂ para industria química),,,
48,Litio (Lithium),14,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Litio,,,
49,Pigmento de Titanio (Titanium pigment)*,14,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,"Compuesto de Titanio (principalmente dióxido de titanio, TiO₂)",,,
50,Renio (Rhenium),12,Moderado,Sí,Evaluación cuantitativa,No,Renio (subproducto del molibdeno/cobre),,,
51,Concentrados Minerales de Titanio (Titanium mineral concentrates)*,10,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,"Concentrado de mineral de Titanio (etapa inicial de procesamiento, ej. ilmenita)",,,
52,Cerio (Cerium),9,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa),Elemento de Tierras Raras,,,
53,Manganeso Metálico (Manganese metal)*,9,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Forma metálica del Manganeso,,,
54,Plomo (Lead),7,Moderado,Sí,Evaluación cuantitativa,No,Plomo,,,
55,Titanio Metálico (Titanium metal)*,7,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Forma metálica final del Titanio,,,
56,Ferrocromo (Chromium ferroalloys)*,5,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cuantitativa)*,Aleación de Cromo (Cromo + Hierro),,,
57,Berilio (Beryllium),4,Moderado,Sí,Evaluación cuantitativa,Sí (SPOF),Berilio,,,
58,Europio (Europium),3,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cualitativa),Elemento de Tierras Raras,,,
59,Iterbio (Ytterbium),3,Moderado,Sí,Evaluación cuantitativa,Sí (evaluación cualitativa),Elemento de Tierras Raras,,,
60,Productos Químicos de Cromo (Chromium chemicals)*,2,Limitado,Sí,Evaluación de otro proceso/formas de la cadena de suministro,Sí (evaluación cuantitativa)*,Compuestos químicos de Cromo,,,
61,Arsénico (Arsenic),2,Limitado,No,No aplica,Sí (evaluación cuantitativa),Arsénico (subproducto de la fundición de cobre/oro),,,
62,Fosfatos (Phosphates),1,Limitado,No,No aplica,No,Fosfatos (rocas/fosfatos para fertilizantes),,,Productos Químicos de Cromo (Chromium chemicals) (Tanto EU como UE)
63,Selenio (Selenium),1,Limitado,No,No aplica,No,Selenio (subproducto del cobre),,,Zirconio (Zirconium) (solo EU)
64,Zirconio (Zirconium),1,Limitado,Sí,SPOF,Sí (SPOF),Zirconio,,,Cobalto Metálico (Cobalt metal)* (Tanto EU como UE)
65,Cobalto Metálico (Cobalt metal)*,0,Limitado,Sí,Evaluación de otro proceso/formas de la cadena de suministro,Sí (evaluación cuantitativa)*,Forma metálica del Cobalto,,,Dióxido de Manganeso (Manganese dioxide)* (Solo EU)
66,Mica (Mica),0,Limitado,No,No aplica,No,Mica (grupo de minerales de silicato),,,Alúmina (Alumina)* (Solo EU)
67,Dióxido de Manganeso (Manganese dioxide)*,0,Limitado,Sí,Evaluación de otro proceso/formas de la cadena de suministro,Sí (evaluación cuantitativa)*,Compuesto/óxido de Manganeso,,,Cromita (Chromite)* (Solo EU)
68,Alúmina (Alumina)*,0,Limitado,Sí,Evaluación de otro proceso/formas de la cadena de suministro,Sí (evaluación cuantitativa)*,Óxido de Aluminio (etapa intermedia: bauxita -> alúmina -> aluminio),,,Bauxita (Bauxite)* (EU y UE)
69,Cromita (Chromite)*,0,Limitado,Sí,Evaluación de otro proceso/formas de la cadena de suministro,Sí (evaluación cuantitativa)*,"Mineral de Cromo (etapa inicial, fuente de cromo)",,,Mineral de Manganeso (Manganese ore)* (EU y UE)
70,Bauxita (Bauxite)*,0,Negligible,Sí,Evaluación de otro proceso/formas de la cadena de suministro,Sí (evaluación cuantitativa)*,Mineral de Aluminio (etapa inicial de la cadena),,,"Fluorita Grado Metalúrgico (Fluorspar, metspar)* (UE y EU)"
71,Feldespato (Feldspar),0,Negligible,No,No aplica,No,Feldespato (grupo de minerales de silicato),,,"Níquel Extraído (Nickel, mined)* (EU y UE)"
72,Mineral de Manganeso (Manganese ore)*,0,Negligible,Sí,Evaluación de otro proceso/formas de la cadena de suministro,Sí (evaluación cuantitativa)*,Mineral/Mena de Manganeso (etapa inicial),,,"Cinc Extraído (Zinc, mined)* (EU y UE)"
73,Estroncio (Strontium),0,Negligible,No,No aplica,No,Estroncio,,,Cesio (Cesium) (solo EU)
74,"Fluorita Grado Metalúrgico (Fluorspar, metspar)*",0,Negligible,Sí,Evaluación de otro proceso/formas de la cadena de suministro,Sí (evaluación cuantitativa)*,Variedad/grado de Fluorita (para metalurgia),,,Rubidio (Rubidium) (Solo EU)
75,Cadmio (Cadmium),0,Negligible,No,No aplica,No,Cadmio (subproducto del zinc),,,Escandio (Scandium) (solo EU)
76,Telurio (Tellurium),0,Negligible,No,No aplica,Sí (evaluación cuantitativa),Telurio (subproducto del cobre),,,
77,"Níquel Extraído (Nickel, mined)*",0,Negativo,Sí,Evaluación de otro proceso/formas de la cadena de suministro,Sí (SPOF),Níquel en mineral/concentrado (etapa inicial de la cadena),,,
78,"Cobre Extraído (Copper, mined)*",0,Negativo,Sí,Evaluación de otro proceso/formas de la cadena de suministro,No,Cobre en mineral/concentrado (etapa inicial),,,
79,"Cinc Extraído (Zinc, mined)*",0,Negativo,Sí,Evaluación de otro proceso/formas de la cadena de suministro,Sí (evaluación cuantitativa)*,Cinc en mineral/concentrado (etapa inicial),,,
80,Mineral de Hierro (Iron ore),0,Negativo,No,No aplica,No,Mineral de Hierro,,,
81,Helio (Helium),-1,Negativo,No,No aplica,No,Helio,,,
82,Silicio Metálico (Silicon metal)*,-2,Negativo,Sí,Evaluación de otro proceso/formas de la cadena de suministro,No evaluado previamente*,Forma metálica del Silicio,,,
83,Molibdeno (Molybdenum),-3,Negativo,No,No aplica,No,Molibdeno (subproducto del cobre),,,
84,Oro (Gold),-33,Negativo,No,No aplica,No,Oro,,,
—,Cesio (Cesium),No evaluado cuantitativamente,No aplica,Sí,Evaluación cualitativa,Sí (evaluación cualitativa),Cesio,,,
—,Rubidio (Rubidium),No evaluado cuantitativamente,No aplica,Sí,Evaluación cualitativa,Sí (evaluación cualitativa),Rubidio,,,
—,Escandio (Scandium),No evaluado cuantitativamente,No aplica,Sí,Evaluación cualitativa,Sí (evaluación cualitativa),Escandio,,,
