orden,codigo,nombre
171,311330,Elaboración de productos de chocolate a partir de chocolate
172,311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate"
173,311411,Congelación de frutas y verduras
174,311412,Congelación de alimentos preparados
175,311421,Deshidratación de frutas y verduras
176,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación
177,311423,Conservación de alimentos preparados por procesos distintos a la congelación
178,311511,Elaboración de leche líquida
179,311512,"Elaboración de leche en polvo, condensada y evaporada"
180,311513,Elaboración de derivados y fermentos lácteos
181,311520,Elaboración de helados y paletas
182,311611,"Matanza de ganado, aves y otros animales comestibles"
183,311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles"
184,311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales  comestibles"
185,311614,Elaboración de manteca y otras grasas animales comestibles
186,311710,Preparación y envasado de pescados y mariscos
187,311811,Panificación industrial
188,311812,Panificación tradicional
189,311820,Elaboración de galletas y pastas para sopa
190,311830,Elaboración de tortillas de maíz y molienda de nixtamal
191,311910,Elaboración de botanas
192,311921,Beneficio del café
193,311922,Elaboración de café tostado y molido
194,311923,Elaboración de café instantáneo
195,311924,Preparación y envasado de té
196,311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas"
197,311940,Elaboración de condimentos y aderezos
198,311991,Elaboración de gelatinas y otros postres en polvo
199,311992,Elaboración de levadura
200,311993,Elaboración de alimentos frescos para consumo inmediato
201,311999,Elaboración de otros alimentos
202,312111,Elaboración de refrescos y otras bebidas no alcohólicas
203,312112,Purificación y embotellado de agua
204,312113,Elaboración de hielo
205,312120,Elaboración de cerveza
206,312131,Elaboración de bebidas alcohólicas a base de uva
207,312132,Elaboración de pulque
208,312139,Elaboración de sidra y otras bebidas fermentadas
209,312141,Elaboración de ron y otras bebidas destiladas de caña
210,312142,Elaboración de bebidas destiladas de agave
211,312143,Obtención de alcohol etílico potable
212,312149,Elaboración de otras bebidas destiladas
213,312210,Beneficio del tabaco
214,312221,Elaboración de cigarros
215,312222,Elaboración de puros y otros productos de tabaco
216,313111,Preparación e hilado de fibras duras naturales
217,313112,Preparación e hilado de fibras blandas naturales
218,313113,Fabricación de hilos para coser y bordar
219,313210,Fabricación de telas anchas de trama
220,313220,Fabricación de telas angostas de trama y pasamanería
221,313230,Fabricación de telas no tejidas (comprimidas)
222,313240,Fabricación de telas de punto
223,313310,Acabado de productos textiles
224,313320,Fabricación de telas recubiertas
225,314110,Fabricación de alfombras y tapetes
226,314120,"Confección de cortinas, blancos y similares"
227,314911,Confección de costales
228,314912,Confección de productos de textiles recubiertos y de materiales sucedáneos
229,314991,"Confección, bordado y deshilado de productos textiles"
230,314992,Fabricación de redes y otros productos de cordelería
231,314993,Fabricación de productos textiles reciclados
232,314999,Fabricación de banderas y otros productos textiles no clasificados en otra parte
233,315110,Fabricación de calcetines y medias de punto
234,315191,Fabricación de ropa interior de punto
235,315192,Fabricación de ropa exterior de punto
236,315210,"Confección de prendas de vestir de cuero, piel y de materiales sucedáneos"
237,315221,Confección en serie de ropa interior y de dormir
238,315222,Confección en serie de camisas
239,315223,Confección en serie de uniformes
240,315224,Confección en serie de disfraces y trajes típicos
241,315225,Confección de prendas de vestir sobre medida
242,315229,Confección en serie de otra ropa exterior de materiales textiles
243,315991,Confección de sombreros y gorras
244,315999,Confección de otros accesorios y prendas de vestir no clasificados en otra parte
245,316110,Curtido y acabado de cuero y piel
246,316211,Fabricación de calzado con corte de piel y cuero
247,316212,Fabricación de calzado con corte de tela
248,316213,Fabricación de calzado de plástico
249,316214,Fabricación de calzado de hule
250,316219,Fabricación de huaraches y calzado de otro tipo de materiales
251,316991,"Fabricación de bolsos de mano, maletas y similares"
252,316999,"Fabricación de otros productos de cuero, piel y materiales sucedáneos"
253,321111,"Aserraderos integrados (incluye a la 321112 ""Aserrado de tablas y tablones"" y a la 321113 ""Tratamiento de la madera y fabricación de postes y durmientes"")"
254,321210,Fabricación de laminados y aglutinados de madera
255,321910,Fabricación de productos de madera para la construcción
256,321920,Fabricación de productos para embalaje y envases de madera
257,321991,"Fabricación de productos de materiales trenzables, excepto palma"
258,321992,Fabricación de artículos y utensilios de madera para el hogar
259,321993,Fabricación de productos de madera de uso industrial
260,321999,Fabricación de otros productos de madera
261,322122,"Fabricación de pulpa y papel (incluye a la 322110 ""Fabricación de pulpa"" y 322121 ""Fabricación de papel en plantas integradas"""
262,322132,"Fabricación de cartón y cartoncillo a partir de pulpa (incluye a la 322131 ""Fabricación de cartón en plantas integradas"")"
263,322210,Fabricación de envases de cartón
264,322220,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados
265,322230,Fabricación de productos de papelería
266,322291,Fabricación de pañales desechables y productos sanitarios
267,322299,Fabricación de otros productos de cartón y papel
268,323111,"Impresión de libros, periódicos y revistas"
269,323119,Impresión de formas continuas y otros impresos
270,323120,Industrias conexas a la impresión
271,324110,Refinación de petróleo
272,324120,Fabricación de productos de asfalto
273,324191,Fabricación de aceites y grasas lubricantes
274,324199,Fabricación de coque y otros productos derivados del petróleo refinado y del carbón mineral
275,325110,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado
276,325120,Fabricación de gases industriales
277,325130,Fabricación de pigmentos y colorantes sintéticos
278,325180,Fabricación de otros productos químicos básicos inorgánicos
279,325190,Fabricación de otros productos químicos básicos orgánicos
280,325211,Fabricación de resinas sintéticas
281,325212,Fabricación de hules sintéticos
282,325220,Fabricación de fibras químicas
283,325310,Fabricación de fertilizantes
284,325320,"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes"
285,325411,Fabricación de materias primas para la industria farmacéutica
286,325412,Fabricación de preparaciones farmacéuticas
287,325510,Fabricación de pinturas y recubrimientos
288,325520,Fabricación de adhesivos
289,325610,"Fabricación de jabones, limpiadores y dentífricos"
290,325620,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador"
291,325910,Fabricación de tintas para impresión
292,325920,Fabricación de explosivos
293,325991,Fabricación de cerillos
294,325992,"Fabricación de películas, placas y papel fotosensible para fotografía"
295,325993,Fabricación de resinas de plásticos reciclados
296,325999,Fabricación de otros productos químicos
297,326110,Fabricación de bolsas y películas de plástico flexible
298,326120,"Fabricación de tubería y conexiones, y tubos para embalaje"
299,326130,Fabricación de laminados de plástico rígido
300,326140,Fabricación de espumas y productos de poliestireno
301,326150,Fabricación de espumas y productos de uretano
302,326160,Fabricación de botellas de plástico
303,326191,Fabricación de productos de plástico para el hogar con y sin reforzamiento
304,326192,Fabricación de autopartes de plástico con y sin reforzamiento
305,326193,Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento
306,326194,Fabricación de otros productos de plástico de uso industrial sin reforzamiento
307,326198,Fabricación de otros productos de plástico con reforzamiento
308,326199,Fabricación de otros productos de plástico sin reforzamiento
309,326211,Fabricación de llantas y cámaras
310,326212,Revitalización de llantas
311,326220,Fabricación de bandas y mangueras de hule y de plástico
312,326290,Fabricación de otros productos de hule
313,327111,"Fabricación de artículos de alfarería, porcelana y loza"
314,327112,Fabricación de muebles de baño
315,327121,Fabricación de ladrillos no refractarios
316,327122,Fabricación de azulejos y losetas no refractarias
317,327123,Fabricación de productos refractarios
318,327211,Fabricación de vidrio
319,327212,Fabricación de espejos
320,327213,Fabricación de envases y ampolletas de vidrio
321,327214,Fabricación de fibra de vidrio
322,327215,Fabricación de artículos de vidrio de uso doméstico
323,327216,Fabricación de artículos de vidrio de uso industrial y comercial
324,327219,Fabricación de otros productos de vidrio
325,327310,Fabricación de cemento y productos a base de cemento en plantas integradas
326,327320,Fabricación de concreto
327,327330,Fabricación de tubos y bloques de cemento y concreto
328,327391,Fabricación de productos preesforzados de concreto
329,327399,Fabricación de otros productos de cemento y concreto
330,327410,Fabricación de cal
331,327420,Fabricación de yeso y productos de yeso
332,327910,Fabricación de productos abrasivos
333,327991,Fabricación de productos a base de piedras de cantera
334,327999,Fabricación de otros productos a base de minerales no metálicos
335,331111,Complejos siderúrgicos
336,331112,Fabricación de desbastes primarios y ferroaleaciones
337,331210,Fabricación de tubos y postes de hierro y acero
338,331220,Fabricación de otros productos de hierro y acero
339,331310,Industria básica del aluminio
340,331411,Fundición y refinación de cobre
341,331412,Fundición y refinación de metales preciosos
342,331419,Fundición y refinación de otros metales no ferrosos
343,331420,Laminación secundaria de cobre
344,331490,Laminación secundaria de otros metales no ferrosos
345,331510,Moldeo por fundición de piezas de hierro y acero
346,331520,Moldeo por fundición de piezas metálicas no ferrosas
347,332110,Fabricación de productos metálicos forjados y troquelados
348,332211,Fabricación de herramientas de mano metálicas sin motor
349,332212,Fabricación de utensilios de cocina metálicos
350,332310,Fabricación de estructuras metálicas
351,332320,Fabricación de productos de herrería
352,332410,Fabricación de calderas industriales
353,332420,Fabricación de tanques metálicos de calibre grueso
354,332430,Fabricación de envases metálicos de calibre ligero
355,332510,Fabricación de herrajes y cerraduras
356,332610,"Fabricación de alambre, productos de alambre y resortes"
357,332710,Maquinado de piezas metálicas para maquinaria y equipo en general
358,332720,"Fabricación de tornillos, tuercas, remaches y similares"
359,332810,Recubrimientos y terminados metálicos
360,332910,Fabricación de válvulas metálicas
361,332991,Fabricación de baleros y rodamientos
362,332999,Fabricación de otros productos metálicos
363,333111,Fabricación de maquinaria y equipo agrícola
364,333112,Fabricación de maquinaria y equipo pecuario
365,333120,Fabricación de maquinaria y equipo para la construcción
366,333130,Fabricación de maquinaria y equipo para la industria extractiva
367,333210,Fabricación de maquinaria y equipo para la industria de la madera
368,333220,Fabricación de maquinaria y equipo para la industria del hule y del plástico
369,333291,Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas
370,333292,Fabricación de maquinaria y equipo para la industria textil
371,333293,Fabricación de maquinaria y equipo para la industria de la impresión
372,333294,Fabricación de maquinaria y equipo para la industria del vidrio y otros minerales no metálicos
373,333299,Fabricación de maquinaria y equipo para otras industrias manufactureras
374,333312,"Fabricación de máquinas fotocopiadoras (incluye a la 333311 ""Fabricación de aparatos fotográficos"")"
375,333319,Fabricación de otra maquinaria y equipo para el comercio y los servicios
376,333411,Fabricación de equipo de aire acondicionado y calefacción
377,333412,Fabricación de equipo de refrigeración industrial y comercial
378,333510,Fabricación de maquinaria y equipo para la industria metalmecánica
379,333610,"Fabricación de motores de combustión interna, turbinas y transmisiones"
380,333910,Fabricación de bombas y sistemas de bombeo
381,333920,Fabricación de maquinaria y equipo para levantar y trasladar
382,333991,Fabricación de equipo para soldar y soldaduras
383,333992,Fabricación de maquinaria y equipo para envasar y empacar
384,333993,Fabricación de aparatos e instrumentos para pesar
385,333999,Fabricación de otra maquinaria y equipo para la industria en general
386,334110,Fabricación de computadoras y equipo periférico
387,334210,Fabricación de equipo telefónico
388,334220,"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico"
389,334290,Fabricación de otros equipos de comunicación
390,334310,Fabricación de equipo de audio y de video
391,334410,Fabricación de componentes electrónicos
392,334511,Fabricación de relojes
393,334519,"Fabricación de otros instrumentos de medición, control, navegación, y equipo médico electrónico"
394,334610,Fabricación y reproducción de medios magnéticos y ópticos
395,335110,Fabricación de focos
396,335120,Fabricación de lámparas ornamentales
397,335210,Fabricación de enseres electrodomésticos menores
398,335220,Fabricación de aparatos de línea blanca
399,335311,Fabricación de motores y generadores eléctricos
400,335312,Fabricación de equipo y aparatos de distribución de energía eléctrica
401,335910,Fabricación de acumuladores y pilas
402,335920,Fabricación de cables de conducción eléctrica
403,335930,"Fabricación de enchufes, contactos, fusibles y otros accesorios para instalaciones eléctricas"
404,335991,Fabricación de productos eléctricos de carbón y grafito
405,335999,Fabricación de otros productos eléctricos
406,336110,Fabricación de automóviles y camionetas
407,336120,Fabricación de camiones y tractocamiones
408,336210,Fabricación de carrocerías y remolques
409,336310,Fabricación de motores de gasolina y sus partes para vehículos automotrices
410,336320,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores
411,336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices
412,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices
413,336350,Fabricación de partes de sistemas de transmisión para vehículos automotores
414,336360,Fabricación de asientos y accesorios interiores para vehículos automotores
415,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices
416,336390,Fabricación de otras partes para vehículos automotrices
417,336410,Fabricación de equipo aeroespacial
418,336510,Fabricación de equipo ferroviario
419,336610,Fabricación de embarcaciones
420,336991,Fabricación de motocicletas
421,336992,Fabricación de bicicletas y triciclos
422,336999,Fabricación de otro equipo de transporte
423,337110,Fabricación de cocinas integrales y muebles modulares de baño
424,337120,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería"
425,337210,Fabricación de muebles de oficina y estantería
426,337910,Fabricación de colchones
427,337920,Fabricación de persianas y cortineros
428,339111,"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio"
429,339112,Fabricación de material desechable de uso médico
430,339113,Fabricación de artículos oftálmicos
431,339911,Acuñación e impresión de monedas
432,339912,Orfebrería y joyería de metales y piedras preciosos
433,339913,Joyería de metales y piedras no preciosos y de otros materiales
434,339914,Metalistería de metales no preciosos
435,339920,Fabricación de artículos deportivos
436,339930,Fabricación de juguetes
437,339940,"Fabricación de artículos y accesorios para escritura, pintura, dibujo y actividades de oficina"
438,339950,Fabricación de anuncios y señalamientos
439,339991,Fabricación de instrumentos musicales
440,339992,"Fabricación de cierres, botones y agujas"
441,339993,"Fabricación de escobas, cepillos y similares"
442,339994,Fabricación de velas y veladoras
443,339995,Fabricación de ataúdes
444,339999,Otras industrias manufactureras
445,431110,Comercio
446,481111,Transporte aéreo regular en líneas aéreas nacionales
447,481112,Transporte aéreo regular en líneas aéreas extranjeras
448,481210,Transporte aéreo no regular
449,482110,Transporte por ferrocarril
450,483111,"Transporte marítimo de altura, excepto de petróleo y gas natural"
451,483112,"Transporte marítimo de cabotaje, excepto de petróleo y gas natural"
452,483113,Transporte marítimo de petróleo y gas natural
453,483210,Transporte por aguas interiores
454,484111,"Autotransporte local de productos agrícolas sin refrigeración (Incluye de la 484119 ""Otro autotransporte local de carga general"" a la 484239 ""Otro autotransporte foráneo de carga especializado"")"
455,485111,Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija
456,485112,Transporte colectivo urbano y suburbano de pasajeros en automóviles de ruta fija
457,485113,Transporte colectivo urbano y suburbano de pasajeros en trolebuses y trenes ligeros
458,485114,Transporte colectivo urbano y suburbano de pasajeros en metro
459,485210,Transporte colectivo foráneo de pasajeros de ruta fija
460,485311,Transporte de pasajeros en taxis de sitio
461,485312,Transporte de pasajeros en taxis de ruleteo
462,485320,Alquiler de automóviles con chofer
463,485410,Transporte escolar y de personal
464,485510,Alquiler de autobuses con chofer
465,485990,Otro transporte terrestre de pasajeros
466,486210,Transporte de gas natural por ductos
467,486910,Transporte por ductos de productos refinados del petróleo
468,487110,Transporte turístico por tierra
469,487210,Transporte turístico por agua
470,487990,Otro transporte turístico
471,488111,Servicios a la navegación aérea
472,488112,Administración de aeropuertos y helipuertos
473,488190,Otros servicios relacionados con el transporte aéreo
474,488210,Servicios relacionados con el transporte por ferrocarril
475,488310,Administración de puertos y muelles
476,488320,Servicios de carga y descarga para el transporte por agua
477,488330,Servicios para la navegación por agua
478,488390,Otros servicios relacionados con el transporte por agua
479,488410,Servicios de grúa
480,488491,Servicios de administración de centrales camioneras
481,488492,"Servicios de administración de carreteras, puentes y servicios auxiliares"
482,488493,Servicios de báscula para el transporte y otros servicios relacionados con el transporte por carretera
483,488511,Servicios de agencias aduanales
484,488519,Otros servicios de intermediación para el transporte de carga
485,488990,Otros servicios relacionados con el transporte
486,491110,Servicios postales
487,492110,"Servicios de mensajería y paquetería foránea (incluye a la 492210 ""Servicios de mensajería y paquetería local"")"
488,493111,Almacenes generales de depósito
489,493119,Otros servicios de almacenamiento general sin instalaciones especializadas
490,493120,Almacenamiento con refrigeración
491,493130,Almacenamiento de productos agrícolas que no requieren refrigeración
492,493190,Otros servicios de almacenamiento con instalaciones especializadas
493,511111,Edición de periódicos
494,511112,Edición de periódicos integrada con la impresión
495,511121,Edición de revistas y otras publicaciones periódicas
496,511122,Edición de revistas y otras publicaciones periódicas integrada con la impresión
497,511131,Edición de libros
498,511132,Edición de libros integrada con la impresión
499,511141,Edición de directorios y de listas de correo
500,511142,Edición de directorios y de listas de correo integrada con la impresión
501,511191,Edición de otros materiales
502,511192,Edición de otros materiales integrada con la impresión
503,511210,Edición de software y edición de software integrada con la reproducción
504,512111,Producción de películas
505,512112,Producción de programas para la televisión
506,512113,"Producción de videoclips, comerciales y otros materiales audiovisuales"
507,512120,Distribución de películas y de otros materiales audiovisuales
508,512130,Exhibición de películas y otros materiales audiovisuales
509,512190,Servicios de postproducción y otros servicios para la industria fílmica y del video
510,512210,Productoras discográficas
511,512220,Producción de material discográfico integrada con su reproducción y distribución
512,512230,Editoras de música
513,512240,Grabación de discos compactos (CD) y de video digital (DVD) o casetes musicales
514,512290,Otros servicios de grabación del sonido
515,515110,Transmisión de programas de radio
516,515120,Transmisión de programas de televisión
517,515210,Producción de programación de canales para sistemas de televisión por cable o satelitales
518,517111,"Operadores de telecomunicaciones alámbricas, excepto por suscripción"
519,517112,Operadores de telecomunicaciones alámbricas por suscripción
520,517210,"Operadores de telecomunicaciones inalámbricas, excepto servicios de satélite"
521,517410,Servicios de telecomunicaciones por satélite
522,517910,Otros servicios de telecomunicaciones
523,518210,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados"
524,519110,Agencias noticiosas
525,519121,Bibliotecas y archivos del sector privado
526,519130,Edición y difusión de contenido exclusivamente a través de Internet y servicios de búsqueda en la red
527,519190,Otros servicios de suministro de información
528,521110,Banca central
529,522110,Banca múltiple
530,522210,Banca de desarrollo
531,522220,Fondos y fideicomisos financieros
532,522310,Uniones de crédito
533,522320,Cajas de ahorro popular
534,522390,Otras instituciones de ahorro y préstamo
535,522410,Arrendadoras financieras
536,522420,Compañías de factoraje financiero
537,522430,Sociedades financieras de objeto limitado
538,522440,Compañías de autofinanciamiento
539,522451,Montepíos
540,522452,Casas de empeño
541,522490,Otras instituciones de intermediación crediticia y financiera no bursátil
542,522510,Servicios relacionados con la intermediación crediticia no bursátil
543,523110,Casas de bolsa
544,523121,Casas de cambio
545,523122,Centros cambiarios
546,523210,Bolsa de valores
547,523910,Asesoría en inversiones
548,523990,Otros servicios relacionados con la intermediación bursátil
549,524110,Compañías de seguros
550,524120,Fondos de aseguramiento campesino
551,524130,Compañías afianzadoras
552,524210,"Agentes, ajustadores y gestores de seguros y fianzas"
553,524220,Administración de cajas de pensión y de seguros independientes
554,531111,Alquiler sin intermediación de viviendas amuebladas
555,531112,Alquiler sin intermediación de viviendas no amuebladas
556,531113,Alquiler sin intermediación de salones para fiestas y convenciones
557,531114,Alquiler sin intermediación de oficinas y locales comerciales
558,531115,"Alquiler sin intermediación de teatros, estadios, auditorios y similares"
559,531119,Alquiler sin intermediación de otros bienes raíces
560,531210,Inmobiliarias y corredores de bienes raíces
561,531311,Servicios de administración de bienes raíces
562,531319,Otros servicios relacionados con los servicios inmobiliarios
563,532110,Alquiler de automóviles sin chofer
564,532121,Alquiler de camiones de carga sin chofer
565,532122,"Alquiler de autobuses, minibuses y remolques sin chofer"
566,532210,Alquiler de aparatos eléctricos y electrónicos para el hogar y personales
567,532220,Alquiler de prendas de vestir
568,532230,Alquiler de videocasetes y discos
569,532291,"Alquiler de mesas, sillas, vajillas y similares"
570,532292,Alquiler de instrumentos musicales
571,532299,Alquiler de otros artículos para el hogar y personales
572,532310,Centros generales de alquiler
573,532411,"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales"
574,532412,"Alquiler de equipo de transporte, excepto terrestre"
575,532420,Alquiler de equipo de cómputo y de otras máquinas y mobiliario de oficina
576,532491,"Alquiler de maquinaria y equipo agropecuario, pesquero y para la industria manufacturera"
577,532492,"Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales"
578,532493,Alquiler de maquinaria y equipo comercial y de servicios
579,533110,"Servicios de alquiler de marcas registradas, patentes y franquicias"
580,541110,Bufetes jurídicos
581,541120,Notarías públicas
582,541190,Servicios de apoyo para efectuar trámites legales
583,541211,Servicios de contabilidad y auditoría
584,541219,Otros servicios relacionados con la contabilidad
585,541310,Servicios de arquitectura
586,541320,Servicios de arquitectura de paisaje y urbanismo
587,541330,Servicios de ingeniería
588,541340,Servicios de dibujo
589,541350,Servicios de inspección de edificios
590,541360,Servicios de levantamiento geofísico
591,541370,Servicios de elaboración de mapas
