fecha,anio,mes,mineral,serie,unidad,fuente,precio
1980-05,1980,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),514
1980-06,1980,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),600.8
1980-07,1980,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),645
1980-08,1980,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),626.8
1980-09,1980,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),673.8
1980-10,1980,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),661.7
1980-11,1980,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),623.7
1980-12,1980,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),595.8
1981-01,1981,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),557.6
1981-02,1981,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),500.3
1981-03,1981,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),499.2
1981-04,1981,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),496.2
1981-05,1981,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),480
1981-06,1981,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),460.6
1981-07,1981,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),409.3
1981-08,1981,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),410.2
1981-09,1981,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),443.8
1981-10,1981,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),437.7
1981-11,1981,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),413.4
1981-12,1981,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),410.1
1982-01,1982,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),384.1
1982-02,1982,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),374.3
1982-03,1982,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),330.3
1982-04,1982,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),350.3
1982-05,1982,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),334.2
1982-06,1982,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),315
1982-07,1982,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),338.4
1982-08,1982,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),363.8
1982-09,1982,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),437.7
1982-10,1982,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),422.5
1982-11,1982,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),415
1982-12,1982,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),444.5
1983-01,1983,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),481.6
1983-02,1983,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),492.3
1983-03,1983,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),420.2
1983-04,1983,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),433
1983-05,1983,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),437.7
1983-06,1983,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),413
1983-07,1983,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),422.7
1983-08,1983,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),416.2
1983-09,1983,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),412
1983-10,1983,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),393.9
1983-11,1983,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),381.3
1983-12,1983,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),388.2
1984-01,1984,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),370.8
1984-02,1984,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),386
1984-03,1984,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),394.5
1984-04,1984,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),381.4
1984-05,1984,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),377.2
1984-06,1984,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),378
1984-07,1984,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),347.5
1984-08,1984,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),347.7
1984-09,1984,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),341
1984-10,1984,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),340.2
1984-11,1984,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),341.2
1984-12,1984,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),319.9
1985-01,1985,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),302.8
1985-02,1985,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),299.5
1985-03,1985,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),303.6
1985-04,1985,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),325.1
1985-05,1985,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),316.4
1985-06,1985,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),316.4
1985-07,1985,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),317.2
1985-08,1985,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),330
1985-09,1985,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),323.6
1985-10,1985,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),326
1985-11,1985,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),325.4
1985-12,1985,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),321.9
1986-01,1986,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),345.5
1986-02,1986,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),339
1986-03,1986,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),345.9
1986-04,1986,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),340.6
1986-05,1986,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),342.4
1986-06,1986,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),342.8
1986-07,1986,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),348.4
1986-08,1986,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),376.4
1986-09,1986,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),417.9
1986-10,1986,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),423.7
1986-11,1986,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),397.3
1986-12,1986,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),391.3
1987-01,1987,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),408.4
1987-02,1987,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),401.1
1987-03,1987,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),408.9
1987-04,1987,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),439
1987-05,1987,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),460.9
1987-06,1987,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),449.4
1987-07,1987,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),450.4
1987-08,1987,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),460.2
1987-09,1987,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),460.2
1987-10,1987,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),465.6
1987-11,1987,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),467.9
1987-12,1987,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),486.7
1988-01,1988,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),477.2
1988-02,1988,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),442.1
1988-03,1988,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),443.5
1988-04,1988,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),451.6
1988-05,1988,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),451.2
1988-06,1988,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),451.5
1988-07,1988,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),437.5
1988-08,1988,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),431.2
1988-09,1988,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),413.4
1988-10,1988,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),406.6
1988-11,1988,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),420.1
1988-12,1988,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),419.1
1989-01,1989,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),404.2
1989-02,1989,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),387.7
1989-03,1989,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),390.2
1989-04,1989,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),384.6
1989-05,1989,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),371.2
1989-06,1989,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),367.7
1989-07,1989,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),375.1
1989-08,1989,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),365.3
1989-09,1989,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),361.8
1989-10,1989,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),366.8
1989-11,1989,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),394.3
1989-12,1989,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),409.5
1990-01,1990,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),410.1
1990-02,1990,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),416.7
1990-03,1990,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),393.4
1990-04,1990,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),374.6
1990-05,1990,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),369
1990-06,1990,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),352.5
1990-07,1990,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),362.2
1990-08,1990,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),394.8
1990-09,1990,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),389.4
1990-10,1990,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),381
1990-11,1990,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),381.8
1990-12,1990,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),377.6
1991-01,1991,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),384.1
1991-02,1991,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),363.8
1991-03,1991,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),363.4
1991-04,1991,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),358.2
1991-05,1991,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),357
1991-06,1991,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),366.5
1991-07,1991,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),367.8
1991-08,1991,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),356.5
1991-09,1991,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),348.6
1991-10,1991,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),358.8
1991-11,1991,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),360.1
1991-12,1991,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),361.8
1992-01,1992,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),354.4
1992-02,1992,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),353.9
1992-03,1992,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),344.5
1992-04,1992,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),338.7
1992-05,1992,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),337.1
1992-06,1992,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),340.8
1992-07,1992,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),352.6
1992-08,1992,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),343.3
1992-09,1992,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),345.4
1992-10,1992,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),344.3
1992-11,1992,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),335
1992-12,1992,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),334.7
1993-01,1993,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),329
1993-02,1993,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),329.3
1993-03,1993,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),330
1993-04,1993,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),342
1993-05,1993,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),367.1
1993-06,1993,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),371.9
1993-07,1993,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),392.1
1993-08,1993,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),379.3
1993-09,1993,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),355.4
1993-10,1993,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),364.1
1993-11,1993,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),373.9
1993-12,1993,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),383.3
1994-01,1994,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),387
1994-02,1994,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),381.8
1994-03,1994,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),384.1
1994-04,1994,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),377.6
1994-05,1994,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),381.4
1994-06,1994,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),385.7
1994-07,1994,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),385.5
1994-08,1994,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),380.3
1994-09,1994,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),391.5
1994-10,1994,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),389.9
1994-11,1994,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),384.4
1994-12,1994,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),379.4
1995-01,1995,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),378.7
1995-02,1995,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),376.7
1995-03,1995,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),381.9
1995-04,1995,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),391.2
1995-05,1995,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),385.2
1995-06,1995,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),386.6
1995-07,1995,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),386.2
1995-08,1995,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),383.6
1995-09,1995,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),383
1995-10,1995,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),383.2
1995-11,1995,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),385.3
1995-12,1995,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),387.4
1996-01,1996,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),398.7
1996-02,1996,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),404.9
1996-03,1996,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),396.5
1996-04,1996,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),392.9
1996-05,1996,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),392
1996-06,1996,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),385.2
1996-07,1996,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),383.5
1996-08,1996,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),387.5
1996-09,1996,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),383.3
1996-10,1996,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),380.9
1996-11,1996,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),377.9
1996-12,1996,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),369.3
1997-01,1997,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),355
1997-02,1997,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),346.4
1997-03,1997,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),352.3
1997-04,1997,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),344.7
1997-05,1997,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),344.1
1997-06,1997,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),340.8
1997-07,1997,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),323.8
1997-08,1997,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),324
1997-09,1997,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),322.6
1997-10,1997,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),324.9
1997-11,1997,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),306.3
1997-12,1997,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),288.8
1998-01,1998,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),289.3
1998-02,1998,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),297.7
1998-03,1998,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),295.9
1998-04,1998,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),308.6
1998-05,1998,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),299
1998-06,1998,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),292.2
1998-07,1998,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),292.9
1998-08,1998,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),284.2
1998-09,1998,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),288.7
1998-10,1998,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),296.6
1998-11,1998,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),294.2
1998-12,1998,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),291.4
1999-01,1999,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),287.3
1999-02,1999,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),287.5
1999-03,1999,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),286.2
1999-04,1999,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),282.6
1999-05,1999,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),276.9
1999-06,1999,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),261.4
1999-07,1999,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),256.2
1999-08,1999,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),256.9
1999-09,1999,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),264.5
1999-10,1999,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),311.6
1999-11,1999,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),293.7
1999-12,1999,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),283.7
2000-01,2000,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),284.6
2000-02,2000,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),300.9
2000-03,2000,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),286.704
2000-04,2000,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),279.9
2000-05,2000,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),275.3
2000-06,2000,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),285.4
2000-07,2000,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),282.2
2000-08,2000,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),274.5
2000-09,2000,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),273.67
2000-10,2000,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),270.405
2000-11,2000,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),265.9
2000-12,2000,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),271.9
2001-01,2001,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),265.934
2001-02,2001,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),262.018
2001-03,2001,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),263.273
2001-04,2001,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),260.75
2001-05,2001,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),272.057
2001-06,2001,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),270.738
2001-07,2001,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),267.711
2001-08,2001,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),272.657
2001-09,2001,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),282.478
2001-10,2001,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),283.322
2001-11,2001,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),276.248
2001-12,2001,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),275.992
2002-01,2002,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),281.764
2002-02,2002,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),295.683
2002-03,2002,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),294.353
2002-04,2002,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),302.862
2002-05,2002,5,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),314.48
2002-06,2002,6,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),321.536
2002-07,2002,7,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),313.567
2002-08,2002,8,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),310.045
2002-09,2002,9,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),318.8
2002-10,2002,10,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),316.748
2002-11,2002,11,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),319.255
2002-12,2002,12,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),333.3
2003-01,2003,1,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),356.864
2003-02,2003,2,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),359.575
2003-03,2003,3,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),341.564
2003-04,2003,4,Oro,London Fix AM,USD/ozt,Cochilco (LME/COMEX),328.208
