mineral,estado,produccion_2024,unidad,share_2024_pct,fuente
plata,Guanajuato,55130.0,kilogramos,0.76,SGM Anuario 2025 p.108
plata,Sinaloa,40980.0,kilogramos,0.57,SGM Anuario 2025 p.108
plata,Oaxaca,31750.0,kilogramos,0.44,SGM Anuario 2025 p.108
plata,Aguascalientes,16790.0,kilogramos,0.23,SGM Anuario 2025 p.108
plata,Nayarit,5030.0,kilogramos,0.07,SGM Anuario 2025 p.108
plata,Queretaro,1270.0,kilogramos,0.02,SGM Anuario 2025 p.108
plomo,Zacatecas,258738.82,toneladas,70.82,SGM Anuario 2025 p.110
plomo,Chihuahua,60609.55,toneladas,16.59,SGM Anuario 2025 p.110
plomo,Durango,14618.63,toneladas,4.0,SGM Anuario 2025 p.110
plomo,Hidalgo,7703.8,toneladas,2.11,SGM Anuario 2025 p.110
plomo,Mexico,5527.34,toneladas,1.51,SGM Anuario 2025 p.110
plomo,Guerrero,4326.58,toneladas,1.18,SGM Anuario 2025 p.110
plomo,Jalisco,4052.92,toneladas,1.11,SGM Anuario 2025 p.110
plomo,Oaxaca,3844.38,toneladas,1.05,SGM Anuario 2025 p.110
plomo,Aguascalientes,3116.0,toneladas,0.85,SGM Anuario 2025 p.110
plomo,San Luis Potosi,2517.08,toneladas,0.69,SGM Anuario 2025 p.110
plomo,Queretaro,299.0,toneladas,0.08,SGM Anuario 2025 p.110
plomo,Sonora,1.9,toneladas,0.0,SGM Anuario 2025 p.110
zinc,Zacatecas,563495.74,toneladas,55.82,SGM Anuario 2025 p.114
zinc,Chihuahua,115878.35,toneladas,11.48,SGM Anuario 2025 p.114
zinc,Durango,97404.99,toneladas,9.65,SGM Anuario 2025 p.114
zinc,Sonora,78029.61,toneladas,7.73,SGM Anuario 2025 p.114
zinc,Guerrero,32406.5,toneladas,3.21,SGM Anuario 2025 p.114
zinc,Mexico,27583.7,toneladas,2.73,SGM Anuario 2025 p.114
zinc,San Luis Potosi,27039.19,toneladas,2.68,SGM Anuario 2025 p.114
zinc,Hidalgo,25639.97,toneladas,2.54,SGM Anuario 2025 p.114
zinc,Coahuila,15000.0,toneladas,1.49,SGM Anuario 2025 p.114
zinc,Oaxaca,9506.33,toneladas,0.94,SGM Anuario 2025 p.114
zinc,Aguascalientes,8381.0,toneladas,0.83,SGM Anuario 2025 p.114
zinc,Jalisco,5479.19,toneladas,0.54,SGM Anuario 2025 p.114
zinc,Queretaro,3649.0,toneladas,0.36,SGM Anuario 2025 p.114
barita,Nuevo Leon,405788.0,toneladas,58.6,SGM Anuario 2025 p.126
barita,Sonora,265380.0,toneladas,38.32,SGM Anuario 2025 p.126
barita,Coahuila,13982.99,toneladas,2.02,SGM Anuario 2025 p.126
barita,Chihuahua,2919.0,toneladas,0.42,SGM Anuario 2025 p.126
barita,Oaxaca,2319.14,toneladas,0.33,SGM Anuario 2025 p.126
barita,Jalisco,1507.0,toneladas,0.22,SGM Anuario 2025 p.126
barita,Veracruz,494.07,toneladas,0.07,SGM Anuario 2025 p.126
barita,Puebla,30.0,toneladas,0.0,SGM Anuario 2025 p.126
barita,Chiapas,26.0,toneladas,0.0,SGM Anuario 2025 p.126
fluorita,San Luis Potosi,2247995.71,toneladas,95.64,SGM Anuario 2025 p.145
fluorita,Durango,71074.0,toneladas,3.02,SGM Anuario 2025 p.145
fluorita,Coahuila,31352.0,toneladas,1.33,SGM Anuario 2025 p.145
grafito,Sonora,2150.2,toneladas,100.0,SGM Anuario 2025 p.147
silice,Coahuila,1635148.0,toneladas,51.7,SGM Anuario 2025 p.162
silice,Puebla,1234257.0,toneladas,39.02,SGM Anuario 2025 p.162
silice,Baja California,244774.14,toneladas,7.74,SGM Anuario 2025 p.162
silice,Sonora,48098.39,toneladas,1.52,SGM Anuario 2025 p.162
silice,Jalisco,555.0,toneladas,0.02,SGM Anuario 2025 p.162
silice,Chihuahua,80.82,toneladas,0.0,SGM Anuario 2025 p.162
