estado,abrev,eslabon,tipo,industria,vbp_mdp,forward_rowsum,forward_rasmussen,backward_rasmussen,rank_forward_de_35
Tamaulipas,tamps,L1,extraccion,21-2 - Minería no petrolera,1038.9,1.0292,0.8833,1.1407,29
Tamaulipas,tamps,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,34136.3,1.1188,0.9602,0.9767,17
Tlaxcala,tlax,L1,extraccion,21-2 - Minería no petrolera,646.1,1.1074,1.0047,1.0118,14
Tlaxcala,tlax,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,7644.1,1.2201,1.1069,1.0161,6
Veracruz,ver,L1,extraccion,21-2 - Minería no petrolera,7749.3,1.2859,1.0943,1.0427,9
Veracruz,ver,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,58937.8,1.1449,0.9743,1.0454,14
Yucatan,yuc,L1,extraccion,21-2 - Minería no petrolera,5171.4,1.3121,1.1413,0.9348,5
Yucatan,yuc,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,1696.0,1.0774,0.9371,1.2288,20
Zacatecas,zac,L1,extraccion,21-2 - Minería no petrolera,34470.9,1.1265,1.0446,0.8923,9
Zacatecas,zac,L2+L3,transformacion metalica (refinacion+semis),331-332 - Industrias metálicas básicas; Fabricación ,6632.6,1.1777,1.0921,1.047,4
