mineral,anio,empresa,propietarios,capital,ubicacion,capacidad,unidad_capacidad,fuente,nota
cobre,2005,"Mexicana de Cananea, S.A. de C.V.","Grupo México, S.A. de C.V. 90%",privado mexicano,"Mina y planta SX-EW en Cananea, Son.","29,200 molienda; 33 SX-EW",miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
cobre,2005,"Minera María, S.A. de C.V.","Grupo Frisco 100%",privado mexicano,"Mina y planta SX-EW en Cananea, Son.","20 SX-EW",miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","NUEVO productor 2005"
cobre,2005,"Cobre de México, S.A. de C.V.","Grupo Condumex",privado mexicano,"Refinería primaria en Ciudad de México y refinería secundaria en Villagrán, Gto.",150,miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","refinería, no mina"
fluorita,2005,"Cía. Minera Las Cuevas, S.A. de C.V.","Mexichem, S.A. de C.V.",privado mexicano,"Salitrera (Zaragoza), S.L.P.",520,miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","CAMBIO: matriz ahora Mexichem (antes Grupo Industrial Camesa en 2004)"
fluorita,2005,"Fluorita de México, S.A. de C.V.","Corp. Alfil 51%; Applied Industrial Minerals Corp. 49%",mixto mexicano-estadounidense,"Minas en distrito La Encantada y planta en Múzquiz, Coah.",150,miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
grafito,2005,"Grafitos Mexicanos, S.A.","Cummings Moore Graphite Co. (EUA) 25%; privado mexicano 75%",mixto mexicano-estadounidense,"Minas Lourdes y San Francisco, Son.",60,miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
grafito,2005,"Grafito Superior, S.A. de C.V.","Superior Graphite Co. 100%",estadounidense,"Minas Covalmar, Santa Clara y Río Mayo y planta en Son.",25,miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
manganeso,2005,"Cía. Minera Autlán, S.A. de C.V.","Grupo Ferrominero, S.A. de C.V. 81.75%; privado mexicano 18.25%",privado mexicano,"Minas Molango, Naopa y Nonoalco, Hgo.",600,miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","capacidad en mineral y concentrado"
oro,2005,"Minera Fresnillo, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Proaño (Fresnillo), Zac.",1200,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro de mina"
oro,2005,"Peñoles 56% y Newmont Mining Corporation","Peñoles, S.A. de C.V. 56%; Newmont Mining Corporation 44%",mixto mexicano-estadounidense,"Mina La Herradura, Son.",6900,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro de mina"
oro,2005,"Minera Mexicana La Ciénega, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina La Ciénega, Dgo.",4500,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro de mina"
oro,2005,"Minas Luismín, S.A. de C.V.","GoldCorp Inc. 100%",canadiense,"Mina San Dimas, Dgo. (dos minas)",2700,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro de mina; CAMBIO: matriz ahora GoldCorp (antes Wheaton River Minerals en 2004)"
oro,2005,"Cía. Minera de Santa Gertrudis, S.A. de C.V.","Grupo Ariztegui 51%; Phelps Dodge Corp. 49%",mixto mexicano-estadounidense,"Mina Santa Gertrudis, Son.",1600,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro de mina"
oro,2005,"Exploraciones El Dorado, S.A. de C.V.","Exploraciones El Dorado 70%; Minerales Sotula 30%",privado mexicano,"Mina La Colorada, Son.",800,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro de mina"
oro,2005,"Cía. Minera El Cubo, S.A. de C.V.","Mexgold Resources Inc. 100%",canadiense,"Mina El Cubo, Gto.",128,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro de mina"
oro,2005,"Minas de las Altas Pimerías, S.A. de C.V.","Glamis Gold Ltd. 100%",estadounidense,"Mina El Sauzal, Chih.",5900,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro de mina; NUEVO productor 2005"
oro,2005,"Alamos Gold Inc.","Alamos Gold Inc.",canadiense,"Mina Mulatos, Son.",4700,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro de mina; NUEVO productor 2005"
oro,2005,"Sociedad Cooperativa Minero Metalúrgica Santa Fe de Guanajuato",privado mexicano 100%,privado mexicano,"Guanajuato, Gto.",438,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro de mina"
oro,2005,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",22700,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.13","oro REFINADO"
plata,2005,"Minera Fresnillo, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Proaño (Fresnillo), Zac.",1100000,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","plata de mina"
plata,2005,"Minera Mexicana La Ciénega, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina La Ciénega, Dgo.",65800,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","plata de mina"
plata,2005,"Minera Bismark, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Bismark, Chih.",7000,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","plata de mina"
plata,2005,"Co. Minera Sabinas, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Sabinas, Zac.",157000,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","plata de mina"
plata,2005,"Minera Tizapa, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 50%",privado mexicano,"Mina Tizapa, Méx.",140000,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","plata de mina"
plata,2005,"Minas Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 50%",privado mexicano,"Mina Francisco I. Madero, Zac.",63000,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","plata de mina"
plata,2005,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A. de C.V. 90%",privado mexicano,"Mina San Martín, Sombrerete, Zac.; Taxco, Gro.; Charcas, S.L.P.; Santa Eulalia, Chih.; refinería en Monterrey, N.L.",335000,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","plata de mina"
plata,2005,"Pan American Silver Corp.","Pan American Silver Corp.",canadiense,"Mina La Colorada, Zac.",100000,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","plata de mina"
plata,2005,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",2900000,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","plata REFINADA (refinería)"
plata,2005,"Mexicana de Cobre, S.A. de C.V.","Grupo México, S.A. de C.V. 90%",privado mexicano,"Complejo metalúrgico La Caridad, Son.",466500,kg,"USGS MYB Mexico 2005, Tabla 2, PDF p.14","plata de subproducto/refinería"
plomo-zinc,2005,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A. de C.V. 90%",privado mexicano,"Charcas, S.L.P.; San Martín, Zac.; Santa Eulalia, Chih.; Taxco, Gro.; Rosario, Sin.; Santa Bárbara, Chih.; Velardeña, Dgo.; refinería de plomo en Monterrey y de zinc en S.L.P.","70 plomo mina; 110 zinc refinado",miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
plomo-zinc,2005,"Industrias Peñoles, S.A. de C.V.",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Minas La Encantada, Coah.; Fresnillo, Zac.; Naica, Chih.; Bismark, Son.; Rey de Plata, Gro. (Peñoles 51%, Dowa Mining Co. 39%); complejo metalúrgico en Torreón, Coah.","180 plomo refinado; 240 zinc refinado",miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
plomo-zinc,2005,"Industrias Peñoles, S.A. de C.V. (Francisco I. Madero)",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Mina Francisco I. Madero, Zac.","100,000 zinc",t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
plomo-zinc,2005,"Minera San Francisco del Oro, S.A. de C.V.","Empresas Frisco, S.A. de C.V. 100%",privado mexicano,"San Francisco del Oro, cerca de Hidalgo del Parral, Chih.","15 plomo; 21 zinc",miles t,"USGS MYB Mexico 2005, Tabla 2, PDF p.13",
barita,2006,"Barita de Sonora, S.A.","Grupo Acerero del Norte, S.A. de C.V. (GAN) 100%",privado mexicano,"Mazatán, Son.",219,miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
barita,2006,"Minerales y Arcillas, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Mina San Francisco del Huerto en San Pedro, Coah.; minas La Escondida y Angelita y planta en Galeana",55,miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
barita,2006,"Barita de Santa Rosa, S.A. de C.V.",privado mexicano 100%,privado mexicano,"Múzquiz, Coah.",256,miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
cobre,2006,"Mexicana de Cobre, S.A.B. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina La Caridad, fundición, refinería, planta SX-EW y de alambrón en Nacozari de García, Son.","350 fundición; 50 SX-EW; 300 refinería; 150 alambrón",miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
cobre,2006,"Mexicana de Cananea, S.A.B. de C.V.","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Mina y planta SX-EW en Cananea, Son.","29,200 molienda; 33 SX-EW",miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
cobre,2006,"Minera María, S.A. de C.V.","Grupo Frisco 100%",privado mexicano,"Mina y planta SX-EW en Cananea, Son.","20 SX-EW",miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
cobre,2006,"Cobre de México, S.A. de C.V.","Grupo Condumex",privado mexicano,"Refinería primaria en Ciudad de México y refinería secundaria en Villagrán, Gto.",150,miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","refinería, no mina"
fluorita,2006,"Cía. Minera Las Cuevas, S.A. de C.V.","Mexichem, S.A. de C.V.",privado mexicano,"Salitrera (Zaragoza), S.L.P.",520,miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
fluorita,2006,"Fluorita de México, S.A. de C.V.","Corp. Alfil 51%; Applied Industrial Minerals Corp. 49%",mixto mexicano-estadounidense,"Minas en distrito La Encantada y planta en Múzquiz, Coah.",150,miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
grafito,2006,"Grafitos Mexicanos, S.A.","Cummings Moore Graphite Co. (EUA) 25%; privado mexicano 75%",mixto mexicano-estadounidense,"Minas Lourdes y San Francisco, Son.",60,miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
grafito,2006,"Grafito Superior, S.A. de C.V.","Superior Graphite Co. 100%",estadounidense,"Minas Covalmar, Santa Clara y Río Mayo y planta en Son.",25,miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
manganeso,2006,"Cía. Minera Autlán, S.A. de C.V.","Grupo Ferrominero, S.A. de C.V. 81.75%; privado mexicano 18.25%",privado mexicano,"Minas Molango, Naopa y Nonoalco, Hgo.",600,miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","capacidad en mineral y concentrado"
oro,2006,"Minera Fresnillo, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Proaño (Fresnillo), Zac.",1200,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina"
oro,2006,"Minas de las Altas Pimerías, S.A. de C.V.","Goldcorp Inc. 100%",canadiense,"Mina El Sauzal, Chih.",10000,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina; CAMBIO: matriz ahora Goldcorp (antes Glamis Gold en 2005); capacidad sube de 5,900 a 10,000"
oro,2006,"Peñoles 56% y Newmont Mining Corporation","Peñoles, S.A. de C.V. 56%; Newmont Mining Corporation 44%",mixto mexicano-estadounidense,"Mina La Herradura, Son.",6900,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina"
oro,2006,"Luismín, S.A. de C.V.","Goldcorp Inc. 100%",canadiense,"Mina San Dimas, Dgo. (dos minas)",6500,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina; capacidad sube de 2,700 a 6,500"
oro,2006,"Gammon Lake de México, S.A. de C.V.","Gammon Lake Resources Inc. 100%",canadiense,"Mina Ocampo, Chih.",5000,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina; NUEVO productor 2006"
oro,2006,"Minera Mexicana La Ciénega, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina La Ciénega, Dgo.",4500,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina"
oro,2006,"Cía. Minera de Santa Gertrudis, S.A. de C.V.","Grupo Ariztegui 51%; Phelps Dodge Corp. 49%",mixto mexicano-estadounidense,"Mina Santa Gertrudis, Son.",1600,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina"
oro,2006,"Cía. Minera El Cubo, S.A. de C.V.","Gammon Lake Resources Inc. 100%",canadiense,"Mina El Cubo, Gto.",1200,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina; CAMBIO: matriz ahora Gammon Lake (antes Mexgold en 2005)"
oro,2006,"Exploraciones El Dorado, S.A. de C.V.","Exploraciones El Dorado 70%; Minerales Sotula 30%",privado mexicano,"Mina La Colorada, Son.",800,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina"
oro,2006,"Alamos Gold Inc.","Alamos Gold Inc.",canadiense,"Mina Mulatos, Son.",4700,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina"
oro,2006,"Sociedad Cooperativa Minero Metalúrgica Santa Fe de Guanajuato",privado mexicano 100%,privado mexicano,"Guanajuato, Gto.",438,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro de mina"
oro,2006,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",22700,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.7","oro REFINADO"
plata,2006,"Minera Fresnillo, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Proaño (Fresnillo), Zac.",1100000,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","plata de mina"
plata,2006,"Minera Mexicana La Ciénega, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina La Ciénega, Dgo.",65800,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","plata de mina"
plata,2006,"Minera Bismark, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Bismark, Chih.",7000,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","plata de mina"
plata,2006,"Co. Minera Sabinas, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Mina Sabinas, Zac.",157000,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","plata de mina"
plata,2006,"Minera Tizapa, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 50%",privado mexicano,"Mina Tizapa, Méx.",140000,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","plata de mina"
plata,2006,"Minas Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 50%",privado mexicano,"Mina Francisco I. Madero, Zac.",63000,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","plata de mina"
plata,2006,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A. de C.V. 90%",privado mexicano,"San Martín, Sombrerete, Zac.; Taxco, Gro.; Charcas, S.L.P.; Santa Eulalia, Chih.; refinería en Monterrey, N.L.",335000,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","plata de mina"
plata,2006,"Pan American Silver Corp.","Pan American Silver Corp.",canadiense,"Mina La Colorada, Zac.",100000,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","plata de mina"
plata,2006,"Met-Mex Peñoles, S.A. de C.V.","Industrias Peñoles, S.A. de C.V. 100%",privado mexicano,"Torreón, Coah.",2900000,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","plata REFINADA (refinería)"
plata,2006,"Mexicana de Cobre, S.A. de C.V.","Grupo México, S.A. de C.V. 90%",privado mexicano,"Complejo metalúrgico La Caridad, Son.",466500,kg,"USGS MYB Mexico 2006, Tabla 2, PDF p.8","plata de subproducto/refinería"
plomo-zinc,2006,"Industrial Minera México, S.A. de C.V. (IMMSA)","Grupo México, S.A.B. de C.V. 90%",privado mexicano,"Charcas, S.L.P.; San Martín, Zac.; Santa Eulalia, Chih.; Taxco, Gro.; Rosario, Sin.; Santa Bárbara, Chih.; Velardeña, Dgo.; refinería de plomo en Monterrey y de zinc en S.L.P.","70 plomo mina; 110 zinc refinado",miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
plomo-zinc,2006,"Industrias Peñoles, S.A. de C.V.",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Minas La Encantada, Coah.; Fresnillo, Zac.; Naica, Chih.; Bismark, Son.; Rey de Plata, Gro. (Peñoles 51%, Dowa Mining Co. 39%); complejo metalúrgico en Torreón, Coah.","180 plomo refinado; 240 zinc refinado",miles t,"USGS MYB Mexico 2006, Tabla 2, PDF p.7",
plomo-zinc,2006,"Industrias Peñoles, S.A. de C.V. (Francisco I. Madero)",privado mexicano 97%; privado estadounidense 3%,privado mexicano,"Mina Francisco I. Madero, Zac.","100,000 zinc",t,"USGS MYB Mexico 2006, Tabla 2, PDF p.8",
