mineral,etapa,flujo,pais,m49,valor_usd_2019_2024,share
cobre,E4 Manufacturas,M,Sudafrica,710,637167.0,0.0003
cobre,E4 Manufacturas,M,socio_208,208,621254.0,0.0003
cobre,E4 Manufacturas,M,Indonesia,360,343084.0,0.0002
cobre,E4 Manufacturas,M,socio_642,642,295904.0,0.0002
cobre,E4 Manufacturas,M,socio_620,620,189056.0,0.0001
cobre,E4 Manufacturas,M,Irlanda,372,150488.0,0.0001
cobre,E4 Manufacturas,M,Nueva Zelanda,554,148109.0,0.0001
cobre,E4 Manufacturas,M,socio_579,579,122323.0,0.0001
cobre,E4 Manufacturas,M,Peru,604,97176.0,0.0001
cobre,E4 Manufacturas,M,Argentina,32,65292.0,0.0
cobre,E4 Manufacturas,M,socio_376,376,64631.0,0.0
cobre,E4 Manufacturas,M,socio_188,188,61306.0,0.0
cobre,E4 Manufacturas,M,Colombia,170,53545.0,0.0
cobre,E4 Manufacturas,M,socio_568,568,49930.0,0.0
cobre,E4 Manufacturas,M,Chile,152,35934.0,0.0
cobre,E4 Manufacturas,M,Australia,36,34547.0,0.0
cobre,E4 Manufacturas,M,socio_899,899,31240.0,0.0
cobre,E4 Manufacturas,M,socio_703,703,21708.0,0.0
cobre,E4 Manufacturas,M,socio_233,233,17892.0,0.0
cobre,E4 Manufacturas,M,socio_504,504,16206.0,0.0
cobre,E4 Manufacturas,M,socio_748,748,8889.0,0.0
cobre,E4 Manufacturas,M,socio_705,705,3619.0,0.0
cobre,E4 Manufacturas,M,socio_591,591,990.0,0.0
cobre,E4 Manufacturas,M,socio_688,688,834.0,0.0
cobre,E4 Manufacturas,X,Estados Unidos,842,421014413.0,0.8935
cobre,E4 Manufacturas,X,China,156,19616635.0,0.0416
cobre,E4 Manufacturas,X,socio_251,251,8204389.0,0.0174
cobre,E4 Manufacturas,X,Canada,124,4384240.0,0.0093
cobre,E4 Manufacturas,X,Guatemala,320,2930881.0,0.0062
cobre,E4 Manufacturas,X,socio_188,188,1957201.0,0.0042
cobre,E4 Manufacturas,X,Peru,604,1917056.0,0.0041
cobre,E4 Manufacturas,X,socio_214,214,1675108.0,0.0036
cobre,E4 Manufacturas,X,Malasia,458,1608414.0,0.0034
cobre,E4 Manufacturas,X,Colombia,170,1112421.0,0.0024
cobre,E4 Manufacturas,X,Alemania,276,746362.0,0.0016
cobre,E4 Manufacturas,X,Chile,152,717696.0,0.0015
cobre,E4 Manufacturas,X,socio_340,340,692484.0,0.0015
cobre,E4 Manufacturas,X,socio_558,558,626634.0,0.0013
cobre,E4 Manufacturas,X,socio_490,490,611183.0,0.0013
cobre,E4 Manufacturas,X,socio_591,591,592537.0,0.0013
cobre,E4 Manufacturas,X,El Salvador,222,391278.0,0.0008
cobre,E4 Manufacturas,X,socio_218,218,389178.0,0.0008
cobre,E4 Manufacturas,X,socio_699,699,323009.0,0.0007
cobre,E4 Manufacturas,X,Brasil,76,303052.0,0.0006
cobre,E4 Manufacturas,X,Tailandia,764,285126.0,0.0006
cobre,E4 Manufacturas,X,Chequia,203,131117.0,0.0003
cobre,E4 Manufacturas,X,Japon,392,112725.0,0.0002
cobre,E4 Manufacturas,X,Arabia Saudita,682,106818.0,0.0002
cobre,E4 Manufacturas,X,socio_192,192,99427.0,0.0002
cobre,E4 Manufacturas,X,Singapur,702,85248.0,0.0002
cobre,E4 Manufacturas,X,Emiratos Arabes,784,82789.0,0.0002
cobre,E4 Manufacturas,X,Hong Kong,344,81570.0,0.0002
cobre,E4 Manufacturas,X,Corea del Sur,410,75631.0,0.0002
cobre,E4 Manufacturas,X,Australia,36,56037.0,0.0001
cobre,E4 Manufacturas,X,Reino Unido,826,53602.0,0.0001
cobre,E4 Manufacturas,X,Italia,380,43735.0,0.0001
cobre,E4 Manufacturas,X,socio_84,84,35427.0,0.0001
cobre,E4 Manufacturas,X,Hungria,348,24363.0,0.0001
cobre,E4 Manufacturas,X,socio_858,858,19930.0,0.0
cobre,E4 Manufacturas,X,Paises Bajos,528,18789.0,0.0
cobre,E4 Manufacturas,X,Espana,724,17730.0,0.0
cobre,E4 Manufacturas,X,Belgica,56,14784.0,0.0
cobre,E4 Manufacturas,X,Argentina,32,12472.0,0.0
cobre,E4 Manufacturas,X,socio_862,862,9846.0,0.0
cobre,E4 Manufacturas,X,socio_68,68,5912.0,0.0
cobre,E4 Manufacturas,X,socio_643,643,5416.0,0.0
cobre,E4 Manufacturas,X,socio_388,388,5012.0,0.0
cobre,E4 Manufacturas,X,socio_600,600,3212.0,0.0
cobre,E4 Manufacturas,X,Austria,40,1160.0,0.0
cobre,E4 Manufacturas,X,socio_208,208,746.0,0.0
cobre,E4 Manufacturas,X,socio_780,780,498.0,0.0
cobre,E4 Manufacturas,X,socio_332,332,262.0,0.0
fluorita,E1 Espato fluor (crudo),M,Estados Unidos,842,129828.0,1.0
fluorita,E1 Espato fluor (crudo),X,Estados Unidos,842,467183255.0,0.8812
fluorita,E1 Espato fluor (crudo),X,China,156,51227516.0,0.0966
fluorita,E1 Espato fluor (crudo),X,Brasil,76,8351358.0,0.0158
fluorita,E1 Espato fluor (crudo),X,Espana,724,1829607.0,0.0035
fluorita,E1 Espato fluor (crudo),X,Colombia,170,893127.0,0.0017
fluorita,E1 Espato fluor (crudo),X,Turquia,792,615902.0,0.0012
fluorita,E1 Espato fluor (crudo),X,Peru,604,93276.0,0.0002
fluorita,E2 Fluoroquimica,M,Estados Unidos,842,47505648.0,0.4414
fluorita,E2 Fluoroquimica,M,China,156,24520154.0,0.2278
fluorita,E2 Fluoroquimica,M,Alemania,276,10006283.0,0.093
fluorita,E2 Fluoroquimica,M,socio_699,699,7170565.0,0.0666
fluorita,E2 Fluoroquimica,M,Japon,392,6488078.0,0.0603
fluorita,E2 Fluoroquimica,M,Italia,380,4679646.0,0.0435
fluorita,E2 Fluoroquimica,M,socio_643,643,2801461.0,0.026
fluorita,E2 Fluoroquimica,M,Espana,724,2745619.0,0.0255
fluorita,E2 Fluoroquimica,M,Paises Bajos,528,1032072.0,0.0096
fluorita,E2 Fluoroquimica,M,socio_490,490,581143.0,0.0054
fluorita,E2 Fluoroquimica,M,Reino Unido,826,90814.0,0.0008
fluorita,E2 Fluoroquimica,M,socio_757,757,1020.0,0.0
fluorita,E2 Fluoroquimica,X,Estados Unidos,842,607774446.0,1.0
grafito,E1 Grafito natural,M,Estados Unidos,842,18384859.0,0.6769
grafito,E1 Grafito natural,M,China,156,3130918.0,0.1153
grafito,E1 Grafito natural,M,Canada,124,2746522.0,0.1011
grafito,E1 Grafito natural,M,Brasil,76,2544307.0,0.0937
grafito,E1 Grafito natural,M,Alemania,276,238360.0,0.0088
grafito,E1 Grafito natural,M,Japon,392,73405.0,0.0027
grafito,E1 Grafito natural,M,socio_804,804,27468.0,0.001
grafito,E1 Grafito natural,M,Italia,380,12870.0,0.0005
grafito,E1 Grafito natural,X,Estados Unidos,842,11175049.0,1.0
grafito,E2 Grafito artificial/prep.,M,Estados Unidos,842,123851712.0,0.3733
grafito,E2 Grafito artificial/prep.,M,Espana,724,55681899.0,0.1678
grafito,E2 Grafito artificial/prep.,M,China,156,55299994.0,0.1667
grafito,E2 Grafito artificial/prep.,M,Alemania,276,31137034.0,0.0939
grafito,E2 Grafito artificial/prep.,M,Brasil,76,25489345.0,0.0768
grafito,E2 Grafito artificial/prep.,M,socio_251,251,24483563.0,0.0738
grafito,E2 Grafito artificial/prep.,M,socio_757,757,5227249.0,0.0158
grafito,E2 Grafito artificial/prep.,M,Japon,392,3814640.0,0.0115
grafito,E2 Grafito artificial/prep.,M,Reino Unido,826,3248511.0,0.0098
grafito,E2 Grafito artificial/prep.,M,socio_699,699,1052059.0,0.0032
grafito,E2 Grafito artificial/prep.,M,Italia,380,1015357.0,0.0031
grafito,E2 Grafito artificial/prep.,M,Paises Bajos,528,877443.0,0.0026
grafito,E2 Grafito artificial/prep.,M,Belgica,56,370498.0,0.0011
grafito,E2 Grafito artificial/prep.,M,Canada,124,103424.0,0.0003
grafito,E2 Grafito artificial/prep.,M,Corea del Sur,410,103258.0,0.0003
grafito,E2 Grafito artificial/prep.,M,socio_490,490,6620.0,0.0
grafito,E2 Grafito artificial/prep.,M,Austria,40,4349.0,0.0
grafito,E2 Grafito artificial/prep.,X,Estados Unidos,842,367796409.0,0.969
grafito,E2 Grafito artificial/prep.,X,Brasil,76,9640087.0,0.0254
grafito,E2 Grafito artificial/prep.,X,China,156,1786011.0,0.0047
grafito,E2 Grafito artificial/prep.,X,Argentina,32,134148.0,0.0004
grafito,E2 Grafito artificial/prep.,X,Colombia,170,91093.0,0.0002
grafito,E2 Grafito artificial/prep.,X,Guatemala,320,63990.0,0.0002
grafito,E2 Grafito artificial/prep.,X,Espana,724,40883.0,0.0001
grafito,E2 Grafito artificial/prep.,X,socio_188,188,7492.0,0.0
grafito,E3 Electrodos/articulos de carbono,M,China,156,156898210.0,0.2871
grafito,E3 Electrodos/articulos de carbono,M,Malasia,458,122578364.0,0.2243
grafito,E3 Electrodos/articulos de carbono,M,socio_699,699,79777826.0,0.146
grafito,E3 Electrodos/articulos de carbono,M,Estados Unidos,842,35146887.0,0.0643
grafito,E3 Electrodos/articulos de carbono,M,Japon,392,31864006.0,0.0583
grafito,E3 Electrodos/articulos de carbono,M,Espana,724,20963862.0,0.0384
grafito,E3 Electrodos/articulos de carbono,M,Alemania,276,18081017.0,0.0331
grafito,E3 Electrodos/articulos de carbono,M,socio_643,643,13061915.0,0.0239
grafito,E3 Electrodos/articulos de carbono,M,Brasil,76,11861480.0,0.0217
grafito,E3 Electrodos/articulos de carbono,M,Austria,40,10341801.0,0.0189
grafito,E3 Electrodos/articulos de carbono,M,Corea del Sur,410,9739757.0,0.0178
grafito,E3 Electrodos/articulos de carbono,M,socio_251,251,8584944.0,0.0157
grafito,E3 Electrodos/articulos de carbono,M,Italia,380,8148115.0,0.0149
grafito,E3 Electrodos/articulos de carbono,M,socio_490,490,8102068.0,0.0148
grafito,E3 Electrodos/articulos de carbono,M,Reino Unido,826,4806008.0,0.0088
grafito,E3 Electrodos/articulos de carbono,M,Tailandia,764,1466173.0,0.0027
grafito,E3 Electrodos/articulos de carbono,M,Hungria,348,1090262.0,0.002
grafito,E3 Electrodos/articulos de carbono,M,Belgica,56,991587.0,0.0018
grafito,E3 Electrodos/articulos de carbono,M,Canada,124,888685.0,0.0016
grafito,E3 Electrodos/articulos de carbono,M,socio_757,757,405642.0,0.0007
grafito,E3 Electrodos/articulos de carbono,M,Chequia,203,369685.0,0.0007
grafito,E3 Electrodos/articulos de carbono,M,socio_642,642,248359.0,0.0005
grafito,E3 Electrodos/articulos de carbono,M,Australia,36,233901.0,0.0004
grafito,E3 Electrodos/articulos de carbono,M,Paises Bajos,528,190779.0,0.0003
grafito,E3 Electrodos/articulos de carbono,M,socio_208,208,133772.0,0.0002
grafito,E3 Electrodos/articulos de carbono,M,socio_752,752,94629.0,0.0002
grafito,E3 Electrodos/articulos de carbono,M,socio_620,620,70217.0,0.0001
grafito,E3 Electrodos/articulos de carbono,M,socio_246,246,55830.0,0.0001
grafito,E3 Electrodos/articulos de carbono,M,socio_705,705,54945.0,0.0001
grafito,E3 Electrodos/articulos de carbono,M,Sudafrica,710,44372.0,0.0001
grafito,E3 Electrodos/articulos de carbono,M,Polonia,616,40822.0,0.0001
grafito,E3 Electrodos/articulos de carbono,M,socio_899,899,38349.0,0.0001
grafito,E3 Electrodos/articulos de carbono,M,Indonesia,360,16846.0,0.0
grafito,E3 Electrodos/articulos de carbono,M,Turquia,792,13197.0,0.0
grafito,E3 Electrodos/articulos de carbono,M,Hong Kong,344,11080.0,0.0
grafito,E3 Electrodos/articulos de carbono,M,socio_376,376,5075.0,0.0
grafito,E3 Electrodos/articulos de carbono,M,socio_100,100,3309.0,0.0
grafito,E3 Electrodos/articulos de carbono,M,Singapur,702,1231.0,0.0
grafito,E3 Electrodos/articulos de carbono,X,Estados Unidos,842,430833407.0,0.7235
grafito,E3 Electrodos/articulos de carbono,X,socio_251,251,54835434.0,0.0921
grafito,E3 Electrodos/articulos de carbono,X,Espana,724,52528712.0,0.0882
grafito,E3 Electrodos/articulos de carbono,X,Colombia,170,23343278.0,0.0392
grafito,E3 Electrodos/articulos de carbono,X,Peru,604,13491766.0,0.0227
grafito,E3 Electrodos/articulos de carbono,X,Argentina,32,7098611.0,0.0119
grafito,E3 Electrodos/articulos de carbono,X,China,156,2608221.0,0.0044
grafito,E3 Electrodos/articulos de carbono,X,Brasil,76,2399993.0,0.004
grafito,E3 Electrodos/articulos de carbono,X,Guatemala,320,2215167.0,0.0037
grafito,E3 Electrodos/articulos de carbono,X,socio_699,699,1768019.0,0.003
grafito,E3 Electrodos/articulos de carbono,X,El Salvador,222,936623.0,0.0016
grafito,E3 Electrodos/articulos de carbono,X,Belgica,56,716800.0,0.0012
grafito,E3 Electrodos/articulos de carbono,X,Chile,152,637336.0,0.0011
grafito,E3 Electrodos/articulos de carbono,X,socio_218,218,578551.0,0.001
grafito,E3 Electrodos/articulos de carbono,X,socio_340,340,538700.0,0.0009
grafito,E3 Electrodos/articulos de carbono,X,socio_558,558,424680.0,0.0007
grafito,E3 Electrodos/articulos de carbono,X,socio_188,188,172042.0,0.0003
grafito,E3 Electrodos/articulos de carbono,X,socio_214,214,74957.0,0.0001
grafito,E3 Electrodos/articulos de carbono,X,Hungria,348,72750.0,0.0001
grafito,E3 Electrodos/articulos de carbono,X,socio_192,192,68298.0,0.0001
grafito,E3 Electrodos/articulos de carbono,X,Alemania,276,38095.0,0.0001
grafito,E3 Electrodos/articulos de carbono,X,socio_591,591,32721.0,0.0001
grafito,E3 Electrodos/articulos de carbono,X,socio_862,862,29265.0,0.0
grafito,E3 Electrodos/articulos de carbono,X,Canada,124,23177.0,0.0
grafito,E3 Electrodos/articulos de carbono,X,socio_388,388,17388.0,0.0
grafito,E3 Electrodos/articulos de carbono,X,socio_84,84,2283.0,0.0
grafito,E3 Electrodos/articulos de carbono,X,socio_68,68,1334.0,0.0
manganeso,E1 Mena/concentrado,M,socio_266,266,47000186.0,0.6054
manganeso,E1 Mena/concentrado,M,Brasil,76,30549098.0,0.3935
manganeso,E1 Mena/concentrado,M,Estados Unidos,842,90422.0,0.0012
manganeso,E2 Ferroaleaciones,M,Arabia Saudita,682,1065675.0,1.0
manganeso,E2 Ferroaleaciones,X,Estados Unidos,842,158781624.0,0.9622
manganeso,E2 Ferroaleaciones,X,Argentina,32,4398036.0,0.0267
manganeso,E2 Ferroaleaciones,X,Colombia,170,1683552.0,0.0102
manganeso,E2 Ferroaleaciones,X,Chile,152,158680.0,0.001
manganeso,E3 Quimicos/metal,M,Estados Unidos,842,3298759.0,0.9328
manganeso,E3 Quimicos/metal,M,Brasil,76,191486.0,0.0541
manganeso,E3 Quimicos/metal,M,Australia,36,46142.0,0.013
oro,E1 Mena/concentrado,X,China,156,482613991.0,0.5714
oro,E1 Mena/concentrado,X,Corea del Sur,410,212474100.0,0.2515
oro,E1 Mena/concentrado,X,Alemania,276,123717326.0,0.1465
oro,E1 Mena/concentrado,X,socio_100,100,22056246.0,0.0261
oro,E1 Mena/concentrado,X,Belgica,56,3825173.0,0.0045
oro,E2 Bruto/semilabrado,M,Estados Unidos,842,681843581.0,0.8539
oro,E2 Bruto/semilabrado,M,Singapur,702,62386202.0,0.0781
oro,E2 Bruto/semilabrado,M,Canada,124,50263152.0,0.0629
oro,E2 Bruto/semilabrado,M,Alemania,276,2480378.0,0.0031
oro,E2 Bruto/semilabrado,M,Italia,380,750186.0,0.0009
oro,E2 Bruto/semilabrado,M,Japon,392,629386.0,0.0008
oro,E2 Bruto/semilabrado,M,China,156,152167.0,0.0002
oro,E2 Bruto/semilabrado,M,Reino Unido,826,31796.0,0.0
oro,E2 Bruto/semilabrado,M,socio_757,757,10084.0,0.0
oro,E2 Bruto/semilabrado,X,Estados Unidos,842,18640597676.0,0.7891
oro,E2 Bruto/semilabrado,X,socio_757,757,4706198947.0,0.1992
